"CITY","total_contributions","number_of_contributions"
"KELSEYVILLE",2491,48
"GRATON",2485,19
"DURHAM",2470,24
"SAN LORENZO",2450,39
"WESTCHESTER",2433,25
"WINNETKA",2415,53
"SOMIS",2387,25
"CASTAIC",2365,39
"MONTE RIO",2363,20
"STINSON BEACH",2360,23
"TULARE",2360,44
"AMERICAN CANYON",2357,45
"LA HABRA HEIGHTS",2351.5,22
"EL MONTE",2333,37
"OAKHURST",2305,44
"ARNOLD",2300,19
"AZUSA",2293,34
"JULIAN",2285,36
"BOONVILLE",2275,12
"GEYSERVILLE",2265,25
"EL MACERO",2250,17
"FORTUNA",2240,42
"NICASIO",2240,25
"SAN ANDREAS",2235,6
"PARAMOUNT",2230,8
"DIXON",2208,42
"REDWOOD VALLEY",2197,55
"JACKSON",2185,34
"LOMITA",2181,26
"DESCANSO",2180,13
"ATWATER",2140,61
"BUELLTON",2110,45
"SUN VALLEY",2088,35
"SAN GERONIMO",2073,26
"ORCUTT",2060,43
"SUTTER CREEK",2055,42
"BAYSIDE",2036,51
"PENNGROVE",2015,36
"ACAMPO",2000,18
"BORREGO SPRINGS",1986,38
"ANDERSON",1975,31
"SUMMERLAND",1972,33
"EAST PALO ALTO",1945,27
"ROWLAND HEIGHTS",1943,49
"COTO DE CAZA",1915,49
"EL CENTRO",1909,44
"RIPON",1875.26,27
"DISCOVERY BAY",1867,23
"CANYON LAKE",1860,18
"FAIRVIEW",1860,27
"SIGNAL HILL",1858,47
"WILDOMAR",1845,35
"WINCHESTER",1845,25
"TEMPLE CITY",1840,32
"FILLMORE",1815,40
"SUNSET BEACH",1800,12
"HOLLYWOOD",1797,30
"ALTA LOMA",1790,40
"LATHROP",1785,21
"NATIONAL CITY",1780,25
"HARBOR CITY",1775,25
"COLTON",1764,37
"ALBION",1739,26
"ROSEMEAD",1735,32
"PENRYN",1726,22
"HYDESVILLE",1725,13
"LOS BANOS",1718,34
"DUARTE",1715,27
"MUIR BEACH",1700,12
"KNEELAND",1680,27
"POLLOCK PINES",1676,59
